cruise speed,image resolution,illuminance,controls responsiveness,power,smoke intensity,obstacle size,obstacle distance,firm obstacle,req_0,req_1,req_2,req_3
98.6701,22.5693,59.0646,93.3519,13.0,26.1962,36.1792,44.5824,0.0,0.0,0.0,0.0,0.0
99.5567,11.8282,66.2933,30.8764,58.0,5.7286,17.4452,51.6076,0.0,0.0,0.0,1.0,0.0
39.7304,33.864,59.6976,46.4944,51.0,59.8832,83.1995,19.3763,1.0,1.0,0.0,0.0,1.0
5.7195,74.6349,24.641,87.2314,79.0,85.2692,47.0697,15.2712,1.0,1.0,0.0,1.0,1.0
9.55,92.5523,20.8038,7.4759,54.0,37.6616,97.7639,26.3847,1.0,1.0,0.0,0.0,0.0
58.8327,19.3083,40.8613,96.6699,21.0,32.6509,46.1277,14.6796,1.0,1.0,0.0,1.0,1.0
55.3077,73.9322,5.5824,22.8742,82.0,98.5024,23.4235,4.9431,0.0,0.0,0.0,0.0,0.0
30.9313,8.7881,43.6381,68.1718,47.0,83.7063,94.1915,21.7542,1.0,0.0,0.0,0.0,0.0
42.1915,87.6269,66.0267,42.1459,76.0,32.5152,65.2568,25.2949,1.0,1.0,1.0,1.0,1.0
19.8202,12.4585,53.4818,37.6539,8.0,38.965,25.8723,87.7899,1.0,0.0,0.0,0.0,0.0
24.3169,7.8713,51.6039,95.211,25.0,37.765,90.0266,30.879,1.0,0.0,0.0,0.0,0.0
80.2315,79.6718,46.411,57.3408,39.0,90.0703,85.9876,43.017,0.0,0.0,0.0,0.0,0.0
18.7876,57.9277,47.7408,61.4266,18.0,20.5106,96.5417,85.2058,1.0,1.0,0.0,0.0,0.0
32.8045,72.0442,48.2473,87.9517,59.0,61.2073,77.6436,24.6226,0.0,1.0,1.0,0.0,0.0
92.7214,42.8434,13.8913,45.1127,2.0,18.2053,38.2879,58.5486,0.0,0.0,0.0,0.0,0.0
13.5093,83.5438,36.1558,10.596,7.0,13.2851,74.4053,16.8365,1.0,1.0,0.0,0.0,0.0
59.7718,38.9878,52.5744,22.1771,92.0,95.3461,67.0763,39.8916,0.0,0.0,0.0,0.0,0.0
49.1959,41.5749,81.4395,61.0512,22.0,98.1171,43.5916,42.686,0.0,0.0,0.0,0.0,0.0
49.3944,56.6467,78.0505,5.2772,91.0,44.1092,99.6694,97.2108,1.0,0.0,0.0,0.0,0.0
73.0522,30.1139,93.0835,91.6261,45.0,52.2241,9.8456,22.9436,1.0,1.0,0.0,1.0,1.0
62.525,15.465,25.8528,57.7425,76.0,27.2134,35.4748,16.0452,0.0,0.0,0.0,0.0,0.0
53.024,54.8452,99.1707,10.8319,1.0,87.9015,39.1695,95.1319,0.0,0.0,0.0,0.0,0.0
60.5896,80.7423,89.5151,99.299,63.0,41.3531,97.646,15.732,1.0,1.0,1.0,0.0,0.0
70.5567,71.3694,23.6281,36.0653,53.0,81.6347,32.6519,56.1409,1.0,1.0,0.0,0.0,0.0
44.2231,18.0484,63.6427,47.148,48.0,78.7485,44.6635,9.5469,0.0,0.0,1.0,0.0,0.0
21.1376,45.6322,2.6268,86.8816,92.0,65.5124,44.3675,67.5726,1.0,0.0,0.0,0.0,0.0
79.739,16.9363,10.9036,60.5968,56.0,26.7499,12.1622,3.4744,0.0,0.0,0.0,0.0,0.0
12.2303,72.7007,47.0306,80.0799,52.0,87.3516,81.6195,14.8917,1.0,1.0,0.0,1.0,1.0
51.2479,32.0078,64.8528,75.6684,70.0,51.7392,14.0874,54.3983,0.0,0.0,1.0,0.0,0.0
53.2311,17.6561,26.3371,73.6018,33.0,9.5322,13.4584,2.5024,0.0,0.0,0.0,0.0,0.0
63.1576,92.6482,6.9783,40.7326,76.0,71.7318,24.9804,31.7026,0.0,0.0,0.0,0.0,0.0
40.7536,85.0118,80.9008,18.0363,45.0,65.1998,2.4387,65.8921,1.0,0.0,0.0,1.0,1.0
46.3696,17.7195,17.2639,89.9457,52.0,50.6591,95.1892,11.9024,0.0,0.0,0.0,0.0,0.0
13.8073,44.1999,25.0368,25.3805,1.0,7.8902,8.6529,96.5735,0.0,0.0,0.0,0.0,0.0
77.7475,66.0549,34.4729,91.8024,65.0,91.4025,50.543,94.4783,1.0,0.0,0.0,1.0,1.0
90.621,99.964,25.0486,10.9395,41.0,46.7331,50.187,24.7981,0.0,0.0,0.0,0.0,0.0
33.6097,10.0353,99.6556,69.7786,27.0,40.6977,20.9055,24.737,0.0,0.0,1.0,0.0,0.0
74.7121,75.4848,91.1717,80.4502,91.0,86.2115,93.2332,47.2817,0.0,0.0,0.0,0.0,0.0
70.5235,87.2739,83.1843,80.9963,59.0,15.8222,9.7518,2.7272,0.0,0.0,0.0,0.0,0.0
