cruise speed,image resolution,illuminance,controls responsiveness,power,smoke intensity,obstacle size,obstacle distance,firm obstacle,req_0,req_1,req_2,req_3
97.1462,65.9842,80.0171,55.0628,59.0,32.854,98.9944,96.8809,0.0,False,False,False,False
65.5766,88.6728,5.2176,1.5255,35.0,1.6954,62.8455,9.1569,1.0,False,False,False,False
27.8642,12.6152,65.7424,11.7529,94.0,65.9345,5.8712,32.8435,1.0,True,False,False,False
61.3907,65.2251,54.088,66.0734,16.0,20.8516,3.0224,66.5431,0.0,False,True,False,False
55.6675,15.0171,44.5531,86.5592,91.0,4.4881,47.6434,67.9295,0.0,False,True,False,False
31.3631,37.1693,88.5423,52.0219,52.0,10.5912,37.4801,31.1274,1.0,True,True,True,True
65.5497,69.1426,68.5037,81.783,76.0,12.0275,1.5153,20.005,1.0,False,True,True,True
38.9639,53.4867,72.5673,22.8383,65.0,3.3116,90.6221,77.4518,0.0,True,False,False,False
91.0158,18.7971,53.5969,53.5182,78.0,56.5853,62.3473,88.1339,1.0,False,False,False,False
16.9078,60.9256,47.5853,71.8662,47.0,11.6598,62.6614,10.5923,1.0,True,False,True,True
15.0502,75.2163,80.4418,59.9659,91.0,6.5466,42.9558,41.2781,0.0,True,True,True,True
18.0786,26.655,71.2907,90.9389,72.0,94.0847,42.2187,19.2352,0.0,False,True,False,False
99.5375,55.6852,46.6742,40.8407,15.0,41.5799,77.8667,11.5222,1.0,False,False,False,False
36.9384,48.384,59.9355,50.408,41.0,3.8009,15.1277,19.5112,0.0,True,True,False,False
74.3847,50.5747,95.5925,8.9758,51.0,90.7071,39.8179,89.0227,0.0,False,False,False,False
4.7396,46.934,87.0892,33.5858,86.0,50.7355,39.0115,80.0006,0.0,True,True,False,False
6.0336,86.0891,27.3272,61.8577,7.0,70.8154,82.5812,74.4422,0.0,False,True,False,False
28.4031,36.6572,86.8656,84.3048,76.0,74.5767,48.5402,81.3491,0.0,True,True,False,True
32.0367,76.2148,38.713,29.4576,96.0,7.3931,93.9896,53.0519,1.0,True,True,False,True
54.6908,80.0512,64.8964,36.538,91.0,9.6772,1.2099,0.68,0.0,False,False,False,False
80.8816,13.7378,44.6898,67.6754,97.0,58.8515,57.5346,10.4097,1.0,True,False,False,False
76.7441,96.8073,19.4225,87.5113,15.0,82.6224,83.1312,59.0395,0.0,False,False,False,False
98.9873,17.491,70.7478,7.3564,73.0,62.1491,46.5094,32.8312,1.0,False,False,False,False
21.6385,47.3265,90.2345,75.81,62.0,93.37,32.0156,74.4787,0.0,False,False,False,False
57.6299,34.4429,32.9832,7.9949,48.0,56.6328,33.1825,93.7358,1.0,False,False,False,False
11.6273,7.0747,62.9024,31.4776,13.0,8.3025,27.4269,34.1418,0.0,False,False,False,False
10.7386,81.9864,98.9895,22.1634,71.0,51.3718,24.1046,87.9403,0.0,True,True,False,True
62.9301,47.7958,84.0833,45.5463,56.0,43.5782,18.1527,99.8453,0.0,False,False,True,True
79.4564,10.5651,27.8504,9.0436,78.0,45.9997,84.3639,62.7306,1.0,False,False,False,False
87.7876,44.9585,62.7435,14.6243,98.0,96.3266,38.1854,19.2192,0.0,False,False,False,False
79.7591,48.1954,28.4407,59.926,62.0,59.8789,53.8112,44.528,0.0,False,False,False,False
89.9407,30.7772,69.3504,67.3289,83.0,84.4001,5.2508,73.8576,1.0,False,False,True,False
21.089,84.6454,81.1226,28.9545,11.0,23.3967,12.492,89.5971,1.0,True,False,True,True
64.175,1.2619,21.0334,7.2595,5.0,67.8677,62.056,30.9501,0.0,False,False,False,False
35.8568,66.0402,89.5151,82.6129,15.0,42.5958,80.6741,39.8669,0.0,True,True,False,False
99.0745,39.9473,50.5978,78.9495,87.0,1.0562,82.6841,80.8178,1.0,False,False,False,False
49.1741,25.4474,93.4305,44.0325,20.0,78.9107,7.8964,54.9581,0.0,False,False,True,False
12.6233,26.334,59.2476,62.068,39.0,2.8246,54.6787,16.2802,0.0,True,True,False,False
99.5724,28.8105,44.2573,90.6562,76.0,90.0588,49.4081,56.7634,1.0,False,False,False,False
74.4545,42.4752,57.348,89.8644,44.0,34.5672,92.9541,86.9924,1.0,True,True,True,True
16.9856,4.8348,90.9839,61.5652,23.0,64.5207,7.2938,68.2445,1.0,False,False,False,False
20.3875,69.8894,31.9532,64.011,30.0,21.302,8.4481,13.3253,1.0,True,False,True,True
62.68,26.2348,78.6317,47.3235,58.0,16.0411,6.3209,23.1372,1.0,True,True,True,True
38.7407,75.3054,67.6239,29.1695,47.0,39.2396,84.7011,14.2224,1.0,True,True,True,True
73.892,27.8054,45.2104,44.2878,38.0,74.6374,17.7953,22.2497,0.0,False,True,False,False
18.1873,31.3682,5.4767,88.1942,91.0,42.7428,46.9587,54.4986,1.0,False,False,False,False
42.5715,1.1612,66.2116,72.066,15.0,59.4168,14.3086,6.9761,1.0,False,False,False,False
0.507,24.7132,29.3243,21.7765,64.0,66.5019,42.3197,19.8992,1.0,True,False,False,False
89.995,54.9322,96.3454,78.3874,24.0,92.9841,43.6528,19.1021,1.0,False,False,False,False
16.8249,51.3653,83.4786,13.4465,18.0,50.1139,40.9247,23.4617,0.0,True,False,False,False
8.8223,0.8884,25.0117,94.2775,92.0,24.971,9.3086,10.9542,0.0,False,False,False,False
39.365,76.4738,46.2241,85.4662,98.0,98.9423,27.6962,83.7028,0.0,False,False,False,False
