cruise speed,image resolution,illuminance,controls responsiveness,power,smoke intensity,obstacle size,obstacle distance,firm obstacle,req_0,req_1,req_2,req_3
6.0,48.14537128897881,84.0,26.2989,97.0,71.5146,77.6864,46.6941,1.0,False,False,False,False
23.0,65.22496477768792,93.0,56.8751,97.0,92.7787,39.2033,95.2225,0.0,False,False,False,False
3.0,54.034668372853936,88.0,69.6284,54.0,41.5823,34.1884,67.0746,1.0,False,False,False,False
3.0,63.96179564346389,40.0,41.8453,72.0,65.2715,47.8952,9.4367,0.0,False,False,False,False
3.0,98.91593941072388,72.0,2.8334,93.0,81.5138,70.8209,35.1129,1.0,False,False,False,False
2.0,63.54846297060854,96.0,44.6455,2.0,52.4388,34.6151,5.468,1.0,False,False,False,False
11.0,78.633864590203,98.0,78.4716,39.0,78.0756,36.2085,38.0353,1.0,False,False,False,False
1.0,90.99726658866844,93.48660462009956,30.3913,0.0,64.9258,77.7054,7.567,0.0,False,False,False,False
7.0,48.16868354158614,80.0,49.8743,66.0,31.1562,91.6935,73.1713,1.0,False,False,False,False
1.0,35.68868389612104,98.0,4.0857,86.0,62.5036,91.7096,75.0324,0.0,False,False,False,False
