cruise speed,image resolution,illuminance,controls responsiveness,power,smoke intensity,obstacle size,obstacle distance,firm obstacle,req_0,req_1,req_2,req_3
3.0,99.54231293760036,65.0,26.2989,97.0,71.5146,77.6864,46.6941,1.0,False,False,False,False
73.0,1.5797550102707891,1.0,56.8751,97.0,92.7787,39.2033,95.2225,0.0,False,False,False,True
6.0,96.85393204053162,47.0,69.6284,54.0,41.5823,34.1884,67.0746,1.0,False,False,False,False
52.0,29.69433186420214,58.0,41.8453,72.0,65.2715,47.8952,9.4367,0.0,False,False,False,False
68.0,95.0688815262305,90.0,2.8334,93.0,81.5138,70.8209,35.1129,1.0,False,False,False,False
22.0,76.21481715411139,31.0,44.6455,2.0,52.4388,34.6151,5.468,1.0,False,False,False,False
62.0,3.590205649400602,8.0,78.4716,39.0,78.0756,36.2085,38.0353,1.0,False,False,False,False
75.0,46.76373722550827,42.0,30.3913,0.0,64.9258,77.7054,7.567,0.0,False,False,False,False
12.0,40.57851021250034,51.0,49.8743,66.0,31.1562,91.6935,73.1713,1.0,False,False,False,False
71.0,50.250426775776965,89.0,4.0857,86.0,62.5036,91.7096,75.0324,0.0,False,False,False,False
