cruise speed,image resolution,illuminance,controls responsiveness,power,smoke intensity,obstacle size,obstacle distance,firm obstacle,req_0,req_1,req_2,req_3
34.4038,59.6119,46.7533,15.8043,2.0,81.5901,5.9271,45.9786,1.0,False,False,False,False
41.0975,9.6982,90.6837,88.7417,80.0,38.1702,41.0162,5.5721,0.0,False,False,False,False
55.2766,93.3106,51.7612,3.5162,41.0,35.5958,99.7684,0.7631,0.0,False,False,False,False
87.7358,63.7135,2.6969,22.8101,69.0,34.7584,20.5669,12.2008,0.0,False,False,False,False
59.938,50.5887,51.5207,2.2039,31.0,99.599,92.5846,91.8211,0.0,False,False,False,False
38.0642,9.7048,79.7212,82.2694,90.0,93.3307,38.9821,41.8026,0.0,False,False,False,False
50.9357,2.517,69.404,72.2964,23.0,67.8774,72.7273,70.6116,1.0,False,False,False,False
36.3389,64.4438,75.7734,73.2435,13.0,30.0929,25.7904,69.4658,0.0,False,False,False,False
46.5382,42.9963,66.7704,87.1061,97.0,33.2336,66.7459,96.1198,0.0,False,False,False,False
89.2261,81.6208,11.8191,52.8454,17.0,60.9008,52.3801,28.6385,0.0,False,False,False,False
87.2972,72.3664,61.0046,84.966,72.0,97.2844,67.7751,83.005,0.0,False,False,False,False
42.8347,20.484,63.4132,58.165,2.0,16.3153,94.979,6.3652,0.0,False,False,False,False
95.0586,84.6025,80.0927,59.1599,52.0,67.3591,44.4617,53.0062,1.0,False,False,False,False
31.4733,96.119,2.7703,66.4257,9.0,37.2166,86.4785,38.8913,0.0,False,False,False,False
42.9528,33.9488,83.2064,33.103,94.0,39.3989,3.6706,65.2258,1.0,False,False,False,False
9.0523,43.5852,60.5179,10.2815,0.0,27.412,14.3233,19.5813,1.0,False,False,False,False
17.3352,46.2164,13.7472,80.6359,42.0,84.7763,50.6542,78.1048,0.0,False,False,False,False
59.2355,84.6958,99.6941,58.4234,87.0,22.5639,84.6919,96.4898,0.0,False,False,False,False
77.8043,59.0327,2.1776,73.3265,1.0,27.6275,18.9737,42.8477,1.0,False,False,False,False
75.5004,56.8933,40.7052,41.6751,95.0,56.0682,55.5672,89.375,1.0,False,False,False,False
54.0813,33.0492,30.0999,4.809,84.0,78.0869,61.6284,94.8408,0.0,False,False,False,False
88.3596,92.7076,2.38,50.4851,50.0,91.042,7.284,36.9474,0.0,False,False,False,False
97.616,5.3714,79.5742,81.3752,55.0,79.1416,86.9128,22.3807,0.0,False,False,False,False
3.3501,70.2546,83.0384,60.0935,56.0,86.3682,54.735,58.0266,0.0,False,False,False,False
23.3182,39.4099,95.7191,16.155,65.0,65.0141,42.4731,84.1282,0.0,False,False,False,False
30.6286,58.5755,2.8227,64.8644,49.0,21.3247,77.9722,52.963,0.0,False,False,False,False
72.5171,11.7108,43.4095,42.121,37.0,38.6751,53.5291,31.0586,1.0,False,False,False,False
35.6091,33.4284,42.5316,17.7042,11.0,83.2878,6.771,47.8229,1.0,False,False,False,False
39.7957,71.604,64.4486,48.0569,97.0,76.1936,35.5918,47.6589,0.0,False,False,False,False
60.7158,78.0858,18.4789,27.023,91.0,40.0602,64.8137,99.8922,0.0,False,False,False,False
63.8909,83.0375,45.7101,66.1206,6.0,58.6767,26.9456,42.0833,0.0,False,False,False,False
9.9122,72.0555,48.9407,32.9476,51.0,56.5781,9.9784,80.7944,1.0,False,False,False,False
37.1552,12.6803,74.599,81.8035,34.0,58.6292,74.0173,74.4159,1.0,True,False,False,False
27.9687,20.5579,48.0598,95.7284,55.0,32.9116,20.4259,22.1254,1.0,False,False,False,False
70.2966,84.8034,40.4282,3.7628,100.0,92.777,46.2798,54.6896,1.0,False,False,False,False
49.165,90.8122,75.7356,2.4201,96.0,47.0756,50.1225,82.282,1.0,False,False,False,False
10.5261,14.931,83.3319,49.3576,31.0,40.5331,3.6325,55.8321,0.0,False,False,False,False
91.8337,87.8126,17.0669,28.4702,42.0,81.1709,3.037,68.3805,0.0,False,False,False,False
3.83,92.5201,13.4834,52.1441,72.0,7.8782,6.1815,91.3735,1.0,False,False,False,False
3.2436,75.6451,25.3251,38.1374,37.0,94.9745,11.3716,15.7157,1.0,False,False,False,False
61.4571,4.2462,46.8196,29.086,100.0,56.6197,60.7716,35.4719,0.0,False,False,False,False
62.648,27.4658,42.0839,9.195,4.0,42.2394,42.9812,24.4665,0.0,False,False,False,False
11.0759,60.3354,65.5188,54.2483,53.0,25.0907,59.429,97.6104,1.0,False,False,False,False
14.6405,94.824,88.857,36.3539,91.0,50.7857,77.86,76.7998,1.0,False,False,False,False
57.0867,29.7908,8.5469,42.2152,36.0,19.0119,49.6063,32.9356,1.0,False,False,False,False
5.8388,61.0546,5.2425,3.618,80.0,94.9283,41.5515,49.3656,1.0,False,False,False,False
64.4424,68.354,50.1477,70.5675,79.0,87.9862,73.0762,48.6833,1.0,False,False,False,False
47.4394,18.8578,63.4484,18.4504,61.0,5.0906,56.7039,4.1396,0.0,False,False,False,False
49.8787,50.189,62.2661,3.1007,60.0,39.592,7.9316,4.7905,0.0,False,False,False,False
69.8514,50.7835,5.5238,95.622,93.0,21.6383,87.4211,40.4786,1.0,False,False,False,False
91.2248,50.3666,51.4645,69.8205,19.0,2.4997,84.5598,96.863,1.0,False,False,False,False
75.0699,53.0319,79.5006,32.8717,71.0,99.3416,85.1392,92.9019,1.0,False,False,False,False
20.5544,47.105,13.8246,59.2413,100.0,80.2798,54.6458,81.6956,0.0,False,False,False,False
62.6424,2.9512,22.3783,31.4161,93.0,31.6065,11.4567,50.9711,1.0,False,False,False,False
72.9836,30.1234,72.6459,46.9163,92.0,14.3187,70.6863,31.3028,1.0,False,False,False,False
83.4071,8.8549,37.978,62.1884,41.0,11.595,36.8522,28.4764,1.0,False,False,False,False
29.5559,69.3284,32.6681,20.7659,90.0,36.5684,10.7248,89.9385,0.0,False,False,False,False
62.8076,69.6752,12.1079,20.8312,73.0,86.0308,63.1246,31.3649,1.0,False,False,False,False
69.4321,85.111,16.8018,23.9868,37.0,1.1833,7.2901,99.1149,1.0,False,False,False,False
32.9978,10.2181,39.6515,2.4976,64.0,59.9277,35.5984,40.7345,0.0,False,False,False,False
4.9243,22.0406,54.0925,40.1491,38.0,63.9316,25.7746,62.7038,0.0,False,False,False,False
61.6751,60.893,78.4197,12.3603,46.0,99.6609,90.9246,91.1958,0.0,False,False,False,True
27.3756,76.8617,57.792,80.0324,33.0,58.8778,55.8296,54.9104,1.0,False,False,False,False
21.3666,77.8095,48.1772,9.2757,16.0,90.4866,18.3343,63.3578,0.0,False,False,False,False
9.2931,35.4296,92.0916,12.9548,84.0,72.9516,83.7744,39.8041,0.0,False,False,False,False
37.4732,68.2694,67.7982,17.2332,30.0,41.4241,93.2933,94.8497,0.0,False,False,False,False
24.565,2.0496,56.4322,75.7695,32.0,74.0262,11.52,67.2921,0.0,False,False,False,False
2.2155,20.3856,96.3956,3.1735,12.0,94.5913,88.4004,19.5343,0.0,False,False,False,False
79.8341,94.515,75.8148,46.8061,19.0,62.3226,29.8875,16.5022,1.0,False,False,False,False
90.0803,43.0615,95.8155,81.9512,47.0,23.9545,35.2548,18.5371,0.0,False,False,False,False
32.3733,10.8409,97.6124,38.5832,99.0,27.7122,85.7701,94.689,0.0,False,False,False,False
53.0857,69.4606,63.2301,47.1156,77.0,79.1214,50.0232,1.2628,1.0,True,False,False,False
64.4494,65.8241,93.4245,21.4496,70.0,34.3565,23.8578,64.7636,1.0,False,False,False,False
92.735,92.3819,81.2321,97.6299,43.0,90.6203,43.6642,88.0247,0.0,False,False,False,False
68.1437,22.1236,96.5826,91.0372,32.0,57.9762,93.0955,93.2092,0.0,False,False,False,False
9.9351,69.7222,66.7057,1.3872,38.0,56.2621,50.1628,85.1907,0.0,False,False,False,False
22.837,33.5827,18.5122,33.2075,90.0,83.3923,66.6834,33.6598,1.0,False,False,False,False
97.8521,37.3642,20.0716,30.9503,70.0,17.0473,7.4082,32.5662,0.0,False,False,False,False
74.0775,73.1733,62.7525,43.9654,14.0,29.7521,72.6196,99.9861,1.0,False,False,True,True
68.1671,77.1161,69.5068,0.2875,82.0,8.9598,26.6523,86.2298,0.0,False,False,False,False
35.7185,33.9403,98.9381,0.7126,59.0,2.4363,58.8781,10.4189,1.0,False,False,False,False
56.1559,16.882,71.2369,21.2467,19.0,99.5864,56.8646,0.3305,1.0,False,False,False,False
61.124,56.9667,16.7943,98.2274,96.0,73.037,84.6585,44.8443,0.0,False,False,False,False
66.709,52.0293,93.4857,97.0803,83.0,82.5183,72.4017,21.0029,1.0,False,False,False,False
95.3525,34.6434,48.6914,34.8092,69.0,45.2249,4.0311,94.5574,0.0,False,False,False,False
57.7734,91.5796,17.0775,8.1778,29.0,66.2314,83.2432,32.3414,1.0,False,False,False,False
94.2328,70.2,39.3767,38.2859,20.0,90.0163,36.2019,58.404,1.0,False,False,False,False
76.2801,94.2503,87.4868,95.5109,76.0,70.5323,69.6699,56.9581,0.0,False,False,False,False
72.6701,82.4798,73.5016,26.1847,10.0,29.6168,64.6819,56.6861,1.0,False,False,False,False
77.6941,19.9221,26.9754,74.8383,74.0,58.9039,83.6163,25.5339,1.0,False,False,False,False
33.2802,59.5454,54.1019,6.079,100.0,59.948,43.6184,17.6343,1.0,True,False,False,False
44.1495,65.5937,40.2297,43.5797,72.0,9.8638,38.9703,36.4758,1.0,False,False,False,False
65.2323,21.884,8.7473,76.5614,5.0,21.3754,1.2421,57.5382,0.0,False,False,False,False
82.5434,8.3413,14.3866,70.8831,1.0,44.6093,34.9959,16.1471,0.0,False,False,False,False
97.5528,46.5721,9.8357,55.5286,11.0,24.2795,6.2928,98.4401,0.0,False,False,False,False
33.3569,35.9346,79.2563,66.2754,32.0,85.9961,81.7198,0.5139,1.0,False,False,False,False
0.76,80.3179,56.477,7.4581,85.0,45.6498,3.3937,34.4463,1.0,False,False,False,False
