,custom_adaptation,custom_confidence,custom_score,custom_time
0,"[ 3.         99.54231294 65.         26.2989     97.         71.5146
 77.6864     46.6941      1.        ]",[0.96512299 0.09624471 0.84025757 0.76665824],0.45847437645866784,0.0003561973571777344
1,"[73.          1.57975501  1.         56.8751     97.         92.7787
 39.2033     95.2225      0.        ]",[4.06681518e-04 9.91546413e-11 6.80289436e-04 2.50837350e-03],0.5785991833675692,0.0004832744598388672
2,"[ 6.         96.85393204 47.         69.6284     54.         41.5823
 34.1884     67.0746      1.        ]",[0.96853566 0.01050007 0.8793492  0.95154511],0.519513106801772,0.00037670135498046875
3,"[52.         29.69433186 58.         41.8453     72.         65.2715
 47.8952      9.4367      0.        ]",[0.09144299 0.00539325 0.00217899 0.00865224],0.4123144395473405,0.0005104541778564453
4,"[68.         95.06888153 90.          2.8334     93.         81.5138
 70.8209     35.1129      1.        ]",[8.08868940e-01 2.80513810e-05 3.92705044e-01 1.36540419e-01],0.5768962717541017,0.0003578662872314453
5,"[22.         76.21481715 31.         44.6455      2.         52.4388
 34.6151      5.468       1.        ]",[0.18097535 0.00947782 0.05875442 0.1560869 ],0.5573827238470379,0.0004277229309082031
6,"[62.          3.59020565  8.         78.4716     39.         78.0756
 36.2085     38.0353      1.        ]",[8.75942473e-03 8.07472285e-08 9.85533625e-03 8.13748909e-03],0.525300685498002,0.0003917217254638672
7,"[75.         46.76373723 42.         30.3913      0.         64.9258
 77.7054      7.567       0.        ]",[1.08713982e-02 2.48117771e-07 1.00486942e-04 5.58431258e-02],0.5992124574183608,0.0003840923309326172
8,"[12.         40.57851021 51.         49.8743     66.         31.1562
 91.6935     73.1713      1.        ]",[0.95818662 0.7715935  0.60073129 0.58533279],0.3385950340416678,0.00034356117248535156
9,"[71.         50.25042678 89.          4.0857     86.         62.5036
 91.7096     75.0324      0.        ]",[9.88424286e-02 3.67175212e-05 1.05392253e-02 1.11524761e-02],0.4408347559192566,0.0004684925079345703
